
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","369.60","1.70","0.10","0.00","0.00","0.00","237.30","0.00","0.00","0.00","0.00","49.97","19.10","Nov.20 08:46,2018","0.0","2994.00"
"'110B987CD123056","370.20","1.70","0.10","0.00","0.00","0.00","236.60","0.00","0.00","0.00","0.00","49.97","19.20","Nov.20 08:47,2018","0.0","2994.00"
"'110B987CD123056","371.60","1.80","0.10","0.00","0.00","0.00","237.60","0.00","0.00","0.00","0.00","49.98","19.30","Nov.20 08:49,2018","0.0","2994.00"
"'110B987CD123056","376.20","1.80","0.10","0.00","0.00","0.00","236.90","0.00","0.00","0.00","0.00","49.96","19.40","Nov.20 08:51,2018","0.0","2994.00"
"'110B987CD123056","379.10","1.80","0.10","0.00","0.00","0.00","234.60","0.00","0.00","0.00","0.00","49.98","19.50","Nov.20 08:52,2018","0.0","2994.00"
"'110B987CD123056","75.00","2.00","0.00","0.00","0.00","0.00","235.60","0.00","0.00","0.80","0.0","49.98","20.00","Nov.20 08:58,2018","0.0","2994.00"
"'110B987CD123056","314.80","2.10","0.00","0.00","0.00","0.00","237.30","0.00","0.00","0.80","0.0","50.02","20.40","Nov.20 09:03,2018","0.0","2994.00"
"'110B987CD123056","314.70","2.10","0.00","0.00","0.00","0.00","235.60","0.00","0.00","0.80","0.0","49.99","20.80","Nov.20 09:08,2018","0.0","2994.00"
"'110B987CD123056","314.70","2.10","0.00","0.00","0.00","0.00","237.90","0.00","0.00","0.70","0.0","50.01","21.20","Nov.20 09:13,2018","0.00","2994.00"
"'110B987CD123056","314.70","2.10","0.00","0.00","0.00","0.00","235.60","0.00","0.00","0.80","0.0","49.99","21.60","Nov.20 09:18,2018","0.00","2994.00"
